C,gamma,kernel,params,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,mean_train_accuracy,std_train_accuracy,mean_test_f1_micro,std_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,std_train_f1_micro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,mean_train_f1_macro,std_train_f1_macro
1.2,scale,rbf,"{'svm__C': 1.2, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.5718167967189359,0.007374463832343194,1,0.6053973958460885,0.0011998834637389705,0.5718167967189359,0.007374463832343194,1,0.6053973958460885,0.0011998834637389705,0.35004240690277755,0.005775062319754651,4,0.38751494409539416,0.0016342158922262725
1.5,scale,rbf,"{'svm__C': 1.5, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.5710910600203126,0.007270957630384977,2,0.6127584203687286,0.0009390123239302002,0.5710910600203126,0.007270957630384977,2,0.6127584203687286,0.0009390123239302002,0.353934211198795,0.005599712629439277,3,0.40430440226028275,0.001907187773936018
1.0,scale,rbf,"{'svm__C': 1.0, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.5707385715607788,0.007871870213075177,3,0.6001150849183343,0.0008836703592320779,0.5707385715607788,0.007871870213075177,3,0.6001150849183343,0.0008836703592320779,0.3469126403178963,0.005742674662184186,5,0.3766971382640416,0.0013526475678861736
2,scale,rbf,"{'svm__C': 2, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.5704897465670962,0.006787854969390553,4,0.624800430946959,0.0009022086078020373,0.5704897465670962,0.006787854969390553,4,0.624800430946959,0.0009022086078020373,0.35867390807890515,0.006240322246675349,2,0.4348641005042092,0.0022531296955511917
0.8,scale,rbf,"{'svm__C': 0.8, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.569888415916175,0.008096381675135902,5,0.5944906455368969,0.0014430682536099597,0.569888415916175,0.008096381675135902,5,0.5944906455368969,0.0014430682536099597,0.3444323979125007,0.006686856319714662,6,0.36687492978762437,0.0020463354608356256
0.5,scale,rbf,"{'svm__C': 0.5, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.5684991229707916,0.007739363398363796,6,0.5854345202308705,0.0016829134418997176,0.5684991229707916,0.007739363398363796,6,0.5854345202308705,0.0016829134418997176,0.3410671992019931,0.006421315868731611,7,0.3542466819322634,0.002068158986380582
0.1,scale,rbf,"{'svm__C': 0.1, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.5581729351763685,0.006521300426933867,7,0.5646266817394662,0.0027159946242827043,0.5581729351763685,0.006521300426933867,7,0.5646266817394662,0.0027159946242827043,0.3070779428102478,0.003934580686368783,8,0.3117732432591875,0.004162860568194166
10,scale,rbf,"{'svm__C': 10, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.5537563732276019,0.006042872389804175,8,0.7324890641158892,0.001641635108983079,0.5537563732276019,0.006042872389804175,8,0.7324890641158892,0.0016416351089830609,0.3896428879887126,0.0062991692773659656,1,0.6762560139372211,0.0019190710819987013
0.05,scale,rbf,"{'svm__C': 0.05, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.5490079794126274,0.005767699605770946,9,0.5524965447471002,0.002187495610128814,0.5490079794126274,0.005767699605770946,9,0.5524965447471002,0.002187495610128814,0.2851641141167428,0.003907663003449493,9,0.2871643724387886,0.0020293700493473742
